headline,review,rating
Nice,Lovely,4.0 out of 5 stars
Gajab,Maggie hai....mast to hogi hi na 😌😋,4.0 out of 5 stars
Delivered expired product,1 month expired product delivered.,1.0 out of 5 stars
Packet had bugs in them,Maggie packets came with insects and bugs. Unfortunately we threw it before clicking pictures as we couldn’t stand the sight of it. Pls don’t buy,1.0 out of 5 stars
Good,Good,4.0 out of 5 stars
Good,Good,5.0 out of 5 stars
Our kids loved it,Most delicious item,4.0 out of 5 stars
Good,Good,4.0 out of 5 stars
Easy to make,Make easily and no time wasting,3.0 out of 5 stars
"Good, but used to be much better.","I've been consuming Maggi since my childhood, and now I'm 46. In recent times, the quality is not as consistent as it used to be. It keeps varying with each batch. Sometimes it's too dry, sometimes it's too brittle, sometimes it looks pale and dangerous to consume. But so far nothing bad happened after eating it. The flavour also is not quite what it used to be. Of course, I still remain loyal to the brand, unless something real bad happens.",4.0 out of 5 stars
Worth it,Very good in taste,5.0 out of 5 stars
Good,Like it,4.0 out of 5 stars
Simply delicious,"Obviously spicy as usual, my most favorite occasional dinner",5.0 out of 5 stars
Common Problem,"Maggi is our lovely dish
But Nowadays It's Taste is not like as usual
It changed it's taste
I am totally disappointed with this change",2.0 out of 5 stars
Good,Good,5.0 out of 5 stars
Value of money,Value of money,4.0 out of 5 stars
Best product.,It's flavour and masala is so tastier.,4.0 out of 5 stars
Children's Delight,Hygienically packed Maggie Noodles brought smiles to the children. During the summer break they enjoyed the Maggie pack. The aromatic cooked noodles was wholesome diet for them though a Junk food.,3.0 out of 5 stars
Easy to cook,"Easy to cook , tasty ,and value for money.",4.0 out of 5 stars
Selling already expired product,See the use by date before purchasing,5.0 out of 5 stars
Good product,Good product,4.0 out of 5 stars
Bad smell,Bad smell came out after opening the pack,1.0 out of 5 stars
Are ther any duplicate maggi product available.,This sound to be strange but the taste of this Maggi was not which I used to eat. There is some difference in taste and even in even. I hope they are not packing another noodles in Maggi packing or fake product.,3.0 out of 5 stars
Awsome,Good experience,4.0 out of 5 stars
2 min Maggi,Basically it is different from the Maggi which we buy from nearby shop it is little bit bigger and its packaging is also different,4.0 out of 5 stars
Authentic Taste 😋,Taste same as it's but Price increased.,5.0 out of 5 stars
Good,Nice,5.0 out of 5 stars
Good,It's good but the price is same I can buy same price in local markets too,4.0 out of 5 stars
Good product,Best in test.,4.0 out of 5 stars
Not healthy but worthy 😉,"Who don't loves Maggie? Or who don't know about Maggie? So here there's no point of extolling their virtue. I am just going to highlight few points.
The packaging was perfect. As maggie can be cook in various ways and you can enjoy it in immense taste, the packet has a recipe of different style maggie. I bought this in subscribe & save option so I get it in extra 10% discount. Now every month I'll get it without the worry to reorder it.

Not healthy but worthy with extra ordinary taste 😋.",5.0 out of 5 stars
Good,Good value,4.0 out of 5 stars
2 minute me nahi ban paayi 🥲,2 minute me nahi ban paayi 🥲,5.0 out of 5 stars
"Good product, good packing","Good product, good packing",5.0 out of 5 stars
Don’t order this item.,The smell was completely worst the taste was bad not like a real maggie. Total waste of money,1.0 out of 5 stars
Best Meggie,Good Meggie and package was nice. Original Maggie,5.0 out of 5 stars
"Maggi 2-Minute Noodles Masala, 70g (Pack of 12)",Great product with wonderful taste. But need to provide much more discount.,4.0 out of 5 stars
Delivery to some one else room and dnt informed 😡,Product is good but delivery is not good.. delivery to some one else room outside tht person bring and deliver to us.,3.0 out of 5 stars
Just ok,OK,3.0 out of 5 stars
I love Maggi,Maggi has good taste,4.0 out of 5 stars
Tasty one at affordable price,Liked the product since it saves time when we need urgent food :),4.0 out of 5 stars
Nice,Nice,5.0 out of 5 stars
Many packets are crack,Same,4.0 out of 5 stars
Nice maggi quality.,"Nice very happy with the product ☺️.
But price is something high than our expectation because if you buy two or three packets then your price would be what you guys have mentioned. and when we buy in bulk like 12 packets price is same so why to buy in bulk why can't limited to our needs means two or three.",4.0 out of 5 stars
Some what better,Better,3.0 out of 5 stars
Good,Very nice,4.0 out of 5 stars
Good,Good,4.0 out of 5 stars
Good product,Good taste,4.0 out of 5 stars
I love Maggie,It's good,4.0 out of 5 stars
It was too good,"Amazing flavour. Its an instant refreshing and energy drink at a very cheap affordable price. A must try for women who do workout....even for homemaker too its amazing,This new Manna iStrong with iron lock formula which gives 100% RDA of iron, vitamin c, b9 and b12. It helps increase hemoglobin levels, iron absorption and promotes healthy food ,
I am taking this lady few months it’s really amazing",5.0 out of 5 stars
Not a real maggi I feel.,Do not have the real taste,2.0 out of 5 stars
What is the meaning of 'dheerness'?,At the ages of 88 we cannot eat a heavy meal at night so the noodles just about fits the bill.,4.0 out of 5 stars
The noodles with appealing qualities.,"The product is good in terms o tate, flavour being less spicy. On the colour front, it looks bit dull. Would love to see the colour of the prepared noodles brighter.",4.0 out of 5 stars
It's not longer first choice...,Average Product from great company...,3.0 out of 5 stars
Eating,Good test,5.0 out of 5 stars
Very bad probity leakage Maggie & shampoo mix, Very bad product,1.0 out of 5 stars
Quality,Quality product with good taste.,4.0 out of 5 stars
Nice,Nice,5.0 out of 5 stars
No fare,Market rate No big diffrent,4.0 out of 5 stars
Good,Nice,4.0 out of 5 stars
5 star product,I am pleased with the quality.,5.0 out of 5 stars
GOOD,GOOD,5.0 out of 5 stars
Great,Same size same taste but i get it with good price then market. Thank you,5.0 out of 5 stars
Good,Value for money,5.0 out of 5 stars
Good,Good par dam jyada hai,4.0 out of 5 stars
Good flavour,Nothing,5.0 out of 5 stars
A great alternative to buying Maggi at grocery store during the current pandemic,"There is no point discussing the taste because well , Maggi is Maggi .
The was it is packaged is that the 12 individual packets are inside an outer transparent packet with Maggi branding , suggesting that it is packaged this way at the factory , so you only have the wash the outet packaging and not the indiviual packets when it arrives at your doorstep instead of the individual packet reducing the hastle during this pandemic .
If you can get it at a off , it is an pretty decent deal .",5.0 out of 5 stars
Very good,Good product,5.0 out of 5 stars
Yummy.,My Favourite My Maggie. I love This.,5.0 out of 5 stars
Good taste,Kids love it,5.0 out of 5 stars
Good,Good,4.0 out of 5 stars
Packaging should be improved else it is great deal.,"I have ordered Maggi, thought I would receive stiff packets but found only small pieces of crused noodles. Earlier they used cardboard packaging which was perfect for it,now they are using polythene material which makes experience far worse.",4.0 out of 5 stars
Maggi ne tho full maza dila dia !!!,Bekar chis hai bekar me le lia phuto dekh ke !!! Mal loo paise ka barbadi hai sab mai bol raha hu !!! Isse achha mare ko paisa de do 25 din me paisa double pakkka!!!!,5.0 out of 5 stars
Yummy 😋,I'm loving it 😍,4.0 out of 5 stars
Reasonable,Liked most,5.0 out of 5 stars
Packaging is lol but with prime membership it is worth it,Value for money,4.0 out of 5 stars
Fulfill the purchase,Good,4.0 out of 5 stars
OK but damaged goods recieved,Good if u don't get damaged packets....,4.0 out of 5 stars
Good,Good very good thanx to amazon i am very happy good job ok Amazon very nice excellent nice ok ok,5.0 out of 5 stars
Good,Good,4.0 out of 5 stars
It's tasty and worth your money,Like I loved it but if we boiled it for few seconds more it losts its taste other than that every thing is fine,5.0 out of 5 stars
4 Star,"Product quality is good. The taste is excellent. Amazon needs special attention to its packing. However, the product was not damaged anywhere. But, its packing was open from one side",4.0 out of 5 stars
Nice product,Ok,4.0 out of 5 stars
As good as maggi,As good as it's usual. Nice in this budget.,4.0 out of 5 stars
Packaging is poor, Packaging is very poor all magi got broken i got it i a plastic bag only no box given but the taste is awesome and it is value for money also,4.0 out of 5 stars
Good,Good,4.0 out of 5 stars
Excellent,Excellent,5.0 out of 5 stars
Aa,Good,5.0 out of 5 stars
Good,,5.0 out of 5 stars
Super value,"The product was in proper packaging.
Comes in handy when there's nothing else available to eat. Also can be had as a snack. The simple 2 minute procedure is really convenient whenever there's a time shortage and you just need to beat your hunter. Maggi is known for its taste as it's second to none. The best instant noodles out there.",5.0 out of 5 stars
Up to mark,The quality is good. On time delivery,5.0 out of 5 stars
5star all ok not expired! That's all from my side,"So well packed, flavour is just real and of course it's not expired as I ordered it but I was afraid of getting expired product bcz lots of people had mentioned they got expired as soon as got it , it was fully satisfying thanx Amazon hope you will always deliver right product to customer .",5.0 out of 5 stars
Actually it's rs 10 in open market,Good but very costly 180/- per kg,3.0 out of 5 stars
Good product,Nice,4.0 out of 5 stars
Good,Good,5.0 out of 5 stars
Good Product,Good product,4.0 out of 5 stars
👌👌👌👌,👌👌👌👌,4.0 out of 5 stars
Meri Maggy :),Love Since 5 years and here on Amazon much reasonable love 2 have and price almost less then 10 Rs per head good 2 & love 2 use.... Happy big thanks Amazon for saving my time energy effort by providing this online reasonable lot with prime free fast delivery 5% all time Pay Card discount worth saves lot mine time & energy so I can focus well in my business and family life style thanks love Amazon :),4.0 out of 5 stars
A,A,5.0 out of 5 stars
Nice 😊,Nice 👍,3.0 out of 5 stars
Amazing nice 👌,I like maggi masala,5.0 out of 5 stars
Product was good,Good product,5.0 out of 5 stars
Fraud,Lot of red ants inside the packet.. please do not purchase from this seller,5.0 out of 5 stars
It's a good product,It's a good product,5.0 out of 5 stars
Not Bad,Not Bad,4.0 out of 5 stars
Super,Super,5.0 out of 5 stars
Maggi 2-Minute Noodles Masala,Nice product,4.0 out of 5 stars
Should Improve the packaging,"Product is good and manufactured recently but ,seller should care about the packing, packaging was not good so noodles broken into small pieces",4.0 out of 5 stars
good product,Worthy product and genuine,5.0 out of 5 stars
Good,Very good,5.0 out of 5 stars
Good product,Good product,4.0 out of 5 stars
Good,It's excellent,5.0 out of 5 stars
Sumptuous,"I like the taste, flavor is also good 👍",4.0 out of 5 stars
Ok,Ok,3.0 out of 5 stars
Missing items,The packet was open from one side with two noodles missing. Only ten noodles were there instead of twelve.,3.0 out of 5 stars
It's all time favorite...,Best before in 8 months in the pack but already 6 months manufacturer pack delivery only expired in 2 months this is stock material...,4.0 out of 5 stars
Nice,Good,4.0 out of 5 stars
Ok,Ok,3.0 out of 5 stars
The best noodles in India,"Maggi is undoubtedly the best instant noodle sold in India. Even after getting banned, none of the brands were able to replicate its success. Sadly the local market has been cut short from Maggi and I can only find it on Amazon.",5.0 out of 5 stars
Delicious,We like it most.,5.0 out of 5 stars
Good Taste,Nice,5.0 out of 5 stars
What more could be said.,"Tried and tested authentic maggi, nothing new to be said. Good for cravings to eat anything.",5.0 out of 5 stars
Good Packaging and delivery,I would prefer this product over single big packet as the noodle inside it doesn't crumble,5.0 out of 5 stars
Nice,Nice,5.0 out of 5 stars
Good product. Poor packaging.,"Taste and flavour is absolutely stunning, as it has already been for decades. 😍😍

Inner packaging is so bad that few packets had holes and attracted ants quickly. If you have ants problem at your place, make sure to keep it in an air-tight container or somewhere inaccessible to ants.",3.0 out of 5 stars
Damaged,Maggie cakes broken into many parts,1.0 out of 5 stars
Nice item,Good item,5.0 out of 5 stars
Good,Good,5.0 out of 5 stars
Excellent Product,Great Taste.,5.0 out of 5 stars
IT IS MAGGI,"I wish the masala packets had a little more masala, or maybe the flavor has changed over the years, or maybe I eat too much maggi. I should stop eating maggi. This one was good though.",4.0 out of 5 stars
Normal product,Normal product,2.0 out of 5 stars
Maggi noodels Amazon pack torn,"The packing cover of Amazon was torn that contained Maggi noodles 12 nos. But the Maggie Noodles was intact.
This is the first time I have experienced. Please check that this does not happen in future.",4.0 out of 5 stars
Love of My life,"Whats to review in Maggie
Dont we all collective love it",5.0 out of 5 stars
Yummy,"Who doesn't love maggie yrr , it's amazing , a tip for those who likes it spicy , mix 2 extra maggi masala in when making your delicious maggie, and voila!! Enjoy",5.0 out of 5 stars
एकदम बेस्ट स्वाद मजा आ गया।,स्वाद ठीक है।,3.0 out of 5 stars
Delivered less quantity than ordered, I ordered 70g* 12 packs but i only got 6 packs. Which is clear cheating.,2.0 out of 5 stars
Maggi always there for you.,"It's Maggi! What more need one say! All your childhood memories of eating piping hot noodles in the comfort of your home.
Or in college when you had little to no money.
Or while trekking in the himalayas and finding a shanty that sells only biscuits, tea and Maggi. It's been there.
Sort of like hsmars Bajaj.... In food form 😁😁😁",5.0 out of 5 stars
This is always been good choice,Maggi is my favorite and it's been best buy on Amazon since available at good price,3.0 out of 5 stars
Nice,Nice product.sb sahi tha 12 ke 12 maggi jaisa dukan m hta h same to same tha,5.0 out of 5 stars
Good quality,good taste but its price is higher than mrp,2.0 out of 5 stars
Good item for children,Maggi noodle is a brand noodle like beslri water,4.0 out of 5 stars
MAGGI the pack you see when you go outside,"What is there to review in Maggi ?

I don't have the kits to test lead content.",4.0 out of 5 stars
BEST TASTE AND BEST DELIVERY,BEST TASTE AND BEST DELIVERY,5.0 out of 5 stars
Value for Money! Low cost!,"Always a maggi fan, so it's very good for maggi lovers, and also for others, value for money, you can have it whenever you want, when you can get it stored in home..",5.0 out of 5 stars
Worth it for money,Packing is good its..easy to make for kids.. quality and quantity is fine,4.0 out of 5 stars
Packaging was poor.,,2.0 out of 5 stars
Go For It,Packaging was good... Quantity and quality was same as I ordered... Thanks Amazon.💝,4.0 out of 5 stars
Good product and economical value,Value of money,5.0 out of 5 stars
Good, Bahut hi achcha,5.0 out of 5 stars
Tasty and value for time and money,A fast and tasty snack. The rate js often cheaper on Amazon than in local stores.,5.0 out of 5 stars
Quality improvement required,"Packaging quality should be improved, because the product is getting damaged.

Thickness and flavours are not great compared with regular market products",4.0 out of 5 stars
Good product,good product and timely delivery,5.0 out of 5 stars
Well made,Super,5.0 out of 5 stars
Worth,Worth for money,5.0 out of 5 stars
As Good as We buy it from shop,As Good as We buy it from shop,5.0 out of 5 stars
Good,Good,5.0 out of 5 stars
Got old stock,"Got old stock of Maggie. Although it's within expiry date, it's 6 months old and total shelf life is 8 months. Need to finish all in 2 months. Amazon should put best before date for such items",3.0 out of 5 stars
Good product.,Liked it.,5.0 out of 5 stars
Always and everyday snack,Loved this since childhood and it just the same it has been till date.,5.0 out of 5 stars
items not delivered,"Out of 9 items only 6 were delivered. Maggie, cardamon, coriander powder is not delivered along with 6 other items.",1.0 out of 5 stars
Moisturized product,"The product hasn't reached the expiry date but the masala is spoilt due to moisture, no taste. Bought in bulk and opened 2 packs, hoping the rest are okay",2.0 out of 5 stars
Nothing to Say,Eat and have fun,5.0 out of 5 stars
Good old Maggi noodles - good as ever!,All good - only a little more careful packaging would save us the trouble of looking into crumbled noodle cakes in almost each packet. Otherwise all good.,4.0 out of 5 stars
Expired Maggie,I recieved expired Maggie packets ...waste of money,1.0 out of 5 stars
Good,Price is good but ok,4.0 out of 5 stars
Delivered in good condition,"We Indian consumers are well aware of the taste, flavour and value for money of Maggi noodles.
So will quickly jump to Amazon service.
Yes, all the packets were delivered safely without damage/break to packets.",4.0 out of 5 stars
Wonderful 💋 delicious,Wonderful 💋 delicious,5.0 out of 5 stars
All 12 received packets are good and maggi taste is always good.,"There are 12 packets in the received pack. Checked 12 packets and everything is good, very satisfied.

OfCourse the taste of maggi is always good than any other brand noodles.",4.0 out of 5 stars
"Smells bad, received the pack of liquid detergent spillover, oily which damages other item as well","Sticky and smelly pack received. Liquid detergent spillover the packets which was not in our order at all, even though they put this smelly, oily and sticky grocery pack to our order. Unable to touch the package at all though the outer box is in good condition. Be aware!",1.0 out of 5 stars
Worth of purchase if not addicted,"One of the best noodle in market, Value for money...",4.0 out of 5 stars
Maggie,Nice product,5.0 out of 5 stars
Special edition 🤪,"I bought online Maggie first time in my village 😃.

Price : 70gm ≠ ₹12 , in subscribe and save 70gm≈₹ 10.75 each packet.

Taste : I think same as other editions.",5.0 out of 5 stars
It is excellent, This is very nice 👌 👍,5.0 out of 5 stars
Good,Product is good,4.0 out of 5 stars
Cool packing,Came perfectly overall nice,4.0 out of 5 stars
packaging,Great packaging and worth the amount,5.0 out of 5 stars
मैगी टेस्ट में बैस्ट।,मैगी टेस्ट में बैस्ट।,5.0 out of 5 stars
"Original maggi, but received an unsealed pack","Out of 12 packets, one of them had a open seal. This product can't be returned. I hope, other buyers won't have such rotten luck.",4.0 out of 5 stars
Disgusting,Disgusting product sadii hui h maggi andar sa bakar,1.0 out of 5 stars
Good,Good,4.0 out of 5 stars
Flavour,"We wanted chicken flavour as per search, but didn’t get it nor do you stock that. Hi you must provide variety",4.0 out of 5 stars
Buy it in bulk if you like maggi !!!,Just buy no review needed,5.0 out of 5 stars
Nice236,Nice136,4.0 out of 5 stars
Of 12 packets 3 were empty.....,I had to go out the day I recieved it so that I can't replace or return it ..... of 12 packs 3 were empty with only masala left .... it's waste of money,1.0 out of 5 stars
Lifesaver for single persons,"To further improve taste and nutrition, I use blanched vegetables, soya chunks, egg/chicken.",5.0 out of 5 stars
Product packaging was not good,Maggie was completely damaged into tiny pieces,1.0 out of 5 stars
