headline,review,rating
Good shampoo,Maine ise 328 me liya great indian sale me,4.0 out of 5 stars
Head & Shoulders Shampoo,Good and renowned brand. Competitive price in a market gaining new highs every day.,4.0 out of 5 stars
Amazing product and value in money,As expected the quality is good value in money,5.0 out of 5 stars
great packaging,,4.0 out of 5 stars
I got it 1ltr at only 129 unbelievable price.,,4.0 out of 5 stars
Nice product,Using it from past few months i can see my softness in my hairs,5.0 out of 5 stars
good,good product,4.0 out of 5 stars
Very nice,Nice,5.0 out of 5 stars
Good product For hair men and women,Good product...also price of the product also consumable online,5.0 out of 5 stars
Good,Good,5.0 out of 5 stars
Nice Shampoo,It's a good shampoo if you are suffering from dandruff and rough hairs.,5.0 out of 5 stars
Steal deal,Received at very low price 😃 very good product,5.0 out of 5 stars
Nice product,Soft and smooth product,5.0 out of 5 stars
Great for hear and scalp,Been using it since a long time and it’s good for the whole family’s hair and scalp. Will buy again,5.0 out of 5 stars
Nice,Very good product,5.0 out of 5 stars
Best product,Good,4.0 out of 5 stars
Nice product,Money for value,4.0 out of 5 stars
Head&shoulders,"Product very good , amazing
Thanks amzon",5.0 out of 5 stars
Good,Good,4.0 out of 5 stars
Good 👍 products,Product is very good 👍,5.0 out of 5 stars
Best Quality 100% Original,,5.0 out of 5 stars
212 me ye acha hai 1 litre,Like,5.0 out of 5 stars
Money 💸 back pack very good Amazon platform,Good product,5.0 out of 5 stars
Nice,Nice product,3.0 out of 5 stars
better growth of hair,for me liked the product very much but the price is little high,4.0 out of 5 stars
Good quality product,Good quality product,5.0 out of 5 stars
Nice,Nice,5.0 out of 5 stars
Nice,Nice,5.0 out of 5 stars
बहुत अछा,बहुत अछा,3.0 out of 5 stars
Good,Good product,5.0 out of 5 stars
Good product,Value for money,4.0 out of 5 stars
Best,This the best shampoo. Been using from 15 years. No complaints 🙂,5.0 out of 5 stars
Worth of every penny,It explains everything ☺️...i would like to thank to the seller as well as amazon for sending another package after receiving leaked product ....,5.0 out of 5 stars
"Head &shoulder shampoo damaging hair, down quality","Me and my family using head &shoulder shampoo last 25years, but this time i am not satisfied with quality, it's making hair dry , as well as increase hair fall,",1.0 out of 5 stars
Good for all family.,1 liter botal good for family. I got it in sale only 99rupees. You may purchase this in discount on amazon.,5.0 out of 5 stars
"Good product,and good quality product",Good,5.0 out of 5 stars
99/- me best h,Mene to loot me liya tha 99 me mst h,5.0 out of 5 stars
The Brand itself is everything.,Packaging was very good the most important thing.,5.0 out of 5 stars
Best price,Nice 👍,5.0 out of 5 stars
This time I think I got fake product,Earlier I have ordered the same I got genuine product but this time I got the product on time but it is not genuine product,1.0 out of 5 stars
Awesome 👍,I got it on price 99 in great Indian festival. Thanks 🙏 Amazon.,5.0 out of 5 stars
Good 👍,Go for it,4.0 out of 5 stars
Duplicate product received,"This product received Duplicate....shampoo bottle cap is BLACK
Fregnence and Shampoo colour is different",1.0 out of 5 stars
NOT value for money!!!!!,"I bought in price crash ,BUT i do not recommend it to buy anyone because u can buy 2 rs pauch from market .
if u do math then 2rs-6ml so 650ml cost=209 so u can save more by buying small 2 rs pack",3.0 out of 5 stars
Ok,Ok,4.0 out of 5 stars
Sasta m acha,100/ m liya tha thik hai,5.0 out of 5 stars
Very nice I bought very cheapest price 179 online....,,5.0 out of 5 stars
Good as always,One of the better shampoos available in the market.,5.0 out of 5 stars
I got this only on 99 rs,I got this only on 99rs of 1 ltr pack best at this price,5.0 out of 5 stars
Prize so good. Value for money 💰,Good product,4.0 out of 5 stars
Nyc product,Value for money,5.0 out of 5 stars
Good shampoo,Scent is a bit hard. Otherwise nice shampoo.,5.0 out of 5 stars
Best product,Best product,5.0 out of 5 stars
Good product,Good,5.0 out of 5 stars
Product buy money from rs 99 me liye hai,Acha hai,5.0 out of 5 stars
Bought 1 litre only for 99rs,Super,5.0 out of 5 stars
Good product and And I got it for just Rs.99.,Good,5.0 out of 5 stars
Superb deal at 99 only for 1000 ml,I got this for 99 only...,5.0 out of 5 stars
Outstanding product 👌👍,Very nice product,5.0 out of 5 stars
Superb deal,"Got 1L for 99/-
:D",5.0 out of 5 stars
I purchased this in 99,All good,5.0 out of 5 stars
Discount of this product attract me. That's why I buy it,Value for money,5.0 out of 5 stars
Nice,Very good product,5.0 out of 5 stars
Vakue for money,Value for money .,5.0 out of 5 stars
It is very good product,,5.0 out of 5 stars
Good,Good quality,4.0 out of 5 stars
Awesome 👌,Awesome protect 👌,5.0 out of 5 stars
Very good,It's good.,5.0 out of 5 stars
Good product,I ordered it many time it's good quality product,5.0 out of 5 stars
It is very good,It is very good product every one can try it,4.0 out of 5 stars
Satisfied,"I received the product before time as usual, with no damages and it is a current product. I've been using this product since ages now, no complains, I am satisfied.",5.0 out of 5 stars
Good,Good,5.0 out of 5 stars
Works good for my hair,"I have been using head & shoulders shampoo from years, and specially in winters this one i prefer, helps in removing dandruff also, makes my hair smooth and frizz free, got 1 ltr pack for myself and i am sorted for good 3-4 months.",5.0 out of 5 stars
Bad product,Duplicate product,1.0 out of 5 stars
nice,nice,4.0 out of 5 stars
God of Shmpoos,"Headshoulder will always fills confidence to your hair and it's starts from the first wash.

Apply oil and a hair mask for the best result.",5.0 out of 5 stars
Genuine products,Best product,4.0 out of 5 stars
Check for a small sachet before purchasing bottle.The delivery person refused door-step delivery.,"Used this for my hair and value for money is good.
Controls dandruff to a certain extent.
Do check once for your hair with a small sachet before buying bottles.",4.0 out of 5 stars
Good product,Softness and value of money,5.0 out of 5 stars
400 say upar waley par delivery charge nhi lete magar mere cut kar liye,Mehanga padh gaya,4.0 out of 5 stars
Awesome 👍,Very good 😊,5.0 out of 5 stars
Good product,If u want to clear low dandruff then go for it. U have to use atleast 3 days in a week.,5.0 out of 5 stars
Right,Good,4.0 out of 5 stars
Best quality,Very good,4.0 out of 5 stars
It contains a gentle cleansing agent that lathers up amazingly and it smells great as well,"I live in north india where the climate is mostly humid and sweat a lot and sweaty scalp means hair fall . My hairs are very dry and frizzy and at times unmanageable but thanks to Head & Shoulder smooth & silky anti dandruff shampoo. Its tri action formula cleanses , nourishes and protects.

It contains a gentle cleansing agent that lathers up amazingly and it smells great as well. And of course it's gentle enough to use everyday even on chemical treated hair.. for the Protection aspects of formula they use micro zinc particles called Zinc pyrithione (ZPT) best known for its use in treating dandruff and seborrhoeic dermatitis.

It does what it says.
Leaves ur hair 10 times stronger ..
As u can see my hair in the picture before and after. I recommend everyone to try this once! :)",5.0 out of 5 stars
Lowest Price,Awesome deal,5.0 out of 5 stars
Waste,Received Duplicate product,1.0 out of 5 stars
Good,Good product.,4.0 out of 5 stars
Superb shampoo,This is a most valuable products in the entire segment,4.0 out of 5 stars
Perfect,Good 👍,5.0 out of 5 stars
yes value for money,yes value for money,5.0 out of 5 stars
good product,oxm,5.0 out of 5 stars
Nice,Good shampoo fo dandruff and softness,4.0 out of 5 stars
TAMPERED PRODUCT,"Product was opened, both Amazon packaging and the seal on the product. Don't have time to return because I need to use the product so didn't returned product. Please check with other customers and take actions.",3.0 out of 5 stars
Excellent,Excellent,5.0 out of 5 stars
Good shampoo,Good product,5.0 out of 5 stars
Feels like a fake product,"When i buy the small ones, my hair is soft
This one i dont feel like it",3.0 out of 5 stars
Good,Good for removing Dandruff.. But use it with some conditioner as it leaves ur hair dry,4.0 out of 5 stars
Smooth and silky,Really smooth and silky. Value for money is great.,4.0 out of 5 stars
Good product with unexpected packaging 👍,Like,5.0 out of 5 stars
Shampoo 👎low quality,Shampoo 👎low quality,1.0 out of 5 stars
I really excited when unboxing,Very good product I found,5.0 out of 5 stars
packaging need to be improved .,delivery service is good but packaging is not good 1 piece leaked inside the package everywhere its not good.,4.0 out of 5 stars
Good,"Good quality,use for hair",4.0 out of 5 stars
Average,Average,5.0 out of 5 stars
Anti dandruf,"Everyone knows its a good product for dandruff removal and one more i want to add, its a complete shampoo for hair hygeine and cleaning of all unwanted stuff
Even lice too.",5.0 out of 5 stars
Best anti dandruff shampoo,"It’s been a lot of years now that I have been using Head & Shoulders.
The shampoo has always been successful in providing nourishment to my hair and giving them a smooth shine. It keeps my scalp dandruff free and helps in conditioning as well.
After using this shampoo it gets really easy for me to tame the frizzy hair. It nourishes and protect me the scalp and thus leaves it dandruff free.
Head & Shoulders smooth and silky is my favourite variant because of its pleasant smell and formula.
I would recommend this to anybody looking for shampoo which is anti dandruff and at the same time leaves hair smooth and silky.",5.0 out of 5 stars
Good,Good,4.0 out of 5 stars
It has helped reduce my dandruff problem and I like its fragrance as well,"I have dandruff and have recently colored my hair as well. It is difficult to find a shampoo that is suitable for both my requirements. Head & Shoulders is a mild shampoo that can cater to both my needs.
It has helped reduce my dandruff problem and I like its fragrance as well. In the summers, the menthol gives a cooling effect. The price is affordable and the shampoo is very impressive. For best results, do buy the conditioner, too.",4.0 out of 5 stars
Good,Quality of product,5.0 out of 5 stars
Satisfied: Best for summers,H&S is a household brand name & rightly so. The products are worthwhile. It’s summer time now and our hair needs shampooing all the more!! I ordered this H&S “smooth & silky” shampoo of 1 litre. Quite a wise choice as 1.) my hair feels fresh. 2.) It’s a huge bottle and will work for the entire summer season. It also works on my dandruff which is the best part. There’ll be nothing else that I need! Satisfied.,4.0 out of 5 stars
worse product,"not recommended, it gave a lot of dandruff maybe its expired nd repacakaged in a new pack or its adultered bt its worse product. i have been using head n shoulder fr years bt this dandruff happened just this time.",1.0 out of 5 stars
Good product,👍,5.0 out of 5 stars
Nice,I recommend this product.,5.0 out of 5 stars
Ok,"It's ok ,I mean like other anti dandruff shampoo...I don't found any extra feature.. which is mentioned by company in the bottle, a little bit shiny hair I got ..",3.0 out of 5 stars
Good products,Good products,5.0 out of 5 stars
The Shampoo I trust!,"The best thing about Head & Shoulders (smooth &silky) Shampoo is, it doesn't make my hair rough like other anti-dandruff shampoos. Two years back, I was frantically searching for a shampoo that can solve my dandruff problem without damaging my hair. After using a couple of other brands, I finally settled with H&S.  It gently takes care of the hair and scalp making it dandruff-free. It also leaves my hair soft and manageable. Value for money as the dispenser allows you to use just the right amount you need. Last but not the least, its fine fragrance is just my favourite.",5.0 out of 5 stars
Great as always.,Great as always. Cannot go wrong with Head and shoulders. Cannot find big bottles in normal shops.,5.0 out of 5 stars
Best shampoo,My favorite,5.0 out of 5 stars
Assume,Awsum,5.0 out of 5 stars
Good one,After one month dandruff level dicreased.,4.0 out of 5 stars
Good,Good,5.0 out of 5 stars
I have received duplicate product. It seems local shampoo filled in bottles.,Nothing like Head and Shoulder shampoo filled in bottles. It seems local shampoo filled and sold,5.0 out of 5 stars
Awesome,Original and worthy product,5.0 out of 5 stars
Value For Money,"Actually, I bought the shampoo because it seemed good value for money. I mean Rs 539 for 1L is really affordable, it seemed like a steal deal. And I am happy I took this risk because the shampoo is worth it. It lives up to its promise of smooth and silky. As I colour my hair, it tends to break and become frizzy. So, this shampoo helps. Albeit, I do suggest that people use it in small quantities and do two washes rather than taking a lot and trying to get results in one wash.",5.0 out of 5 stars
Product is of best quality.....,,5.0 out of 5 stars
Don't forget you,"Gff you Bhai gujhiya h su dhadakan
High quality not quantity and quantity is hy na chale ghum theke uthte ho to",4.0 out of 5 stars
Best in price segment,GOOD BUY,5.0 out of 5 stars
Head and shoulders is trusted brand and i have been ...,"Head and shoulders is trusted brand and i have been using their shampoos from a very long time... it has a very Pleasnt fragrance which is quite strong in shower and stays on for a while after bath...
This shampoo lathers well and gets rid of dandruff without drying out my hair. After wash my hair is more manageable, smooth and shiny.",4.0 out of 5 stars
Goo product,"Is product ko istemal karne ke baad mere baal ulte jhadhne lag rahe hain,bekar product thooooooo.",1.0 out of 5 stars
Very good product, Very good product and not damage packaging,5.0 out of 5 stars
Nice Product Amazon thanks for this,Headashsdoulder,5.0 out of 5 stars
Good one,Shampoo is really very nice,5.0 out of 5 stars
Nice,Super,5.0 out of 5 stars
Great,Great,5.0 out of 5 stars
Nice....,Good product,4.0 out of 5 stars
Value for money,Good,4.0 out of 5 stars
Nice,Good👍,5.0 out of 5 stars
Worth buying,Nice one 👍,5.0 out of 5 stars
Good,Good,4.0 out of 5 stars
Worst product,Facing hair fall problem after using it,1.0 out of 5 stars
Good Shampoo,"Really Great product. I have started using it recently and I love it. I have quite frizzy hair. This shampoo has saved me. It doesn't weigh my hair down and makes it smooth and silky. It's a must try. Plus the dandruff problem due to weather changes and pollution, with this shampoo you don't have to worry about that.",4.0 out of 5 stars
Highly Recommended Shampoo,"I highly recommend this shampoo, especially if you love washing your hair often. I have long hair and keeping them dandruff-free can become a challenge. When I started using this product I noticed that my dandruff reduced significantly, and my hair also started showing a healthy shine. This shampoo is really amazing, and does not dry-up the hair. The pump packaging makes it fun to squirt out the right quantity, and the shampoo also lathers easily. So this is going to last me a good duration.",5.0 out of 5 stars
Good,Good product,4.0 out of 5 stars
"AMAZING, WORTH FOR MONEY GO FOT IT...","Amazon never disappointed me till date,I had ordered multiple things this month only so i am willing to write a review as an Appreciation part to Team Amazon.
The shampoo is really worth for money and exactly same as shown.
Thank you for such positive and good services .",5.0 out of 5 stars
Review,"Simple Goodness! For healthy, soft hair, & Gentle Care everyday this is perfect for your hair care and hair wash routine",4.0 out of 5 stars
Expensive than pouch,1ltr bottle is expansive compared to daily use pouch,4.0 out of 5 stars
Good,Good,4.0 out of 5 stars
बॉक्स में बहुत ज्यादा शैंपू गिर गया है,Please do something for this product. Many shampoo fall in this box. Please help us,3.0 out of 5 stars
"Vertical package , bottle on standing mode, with protection","Cap opened , leakage was observed, pack should be vertical packing , so bottle on standing mode, so no leakage will happen",3.0 out of 5 stars
Good,Bahut acha,4.0 out of 5 stars
Nice product,Good and satisfied,4.0 out of 5 stars
It's not like a original product,Ok ok with it.....,3.0 out of 5 stars
😘😘😘😘😘,I got this 1ltr in 413 and m soo happy,5.0 out of 5 stars
Nice,It's good product,4.0 out of 5 stars
Worked well for me!,"In the changing weather, the ends of my hair goes extremely dry. Recently, I started using this shampoo and I loved how it left my hair smooth and the scalp, oil free. Also, I did notice that it reduced the frizziness of my hair as well. Lastly, it does calm down the dandruff aspect.",4.0 out of 5 stars
Stays true to its claims,"This shampoo stands true to its claim. It controls dandruff in the first wash itself. It doesn't make my hair dry but if I use too much of the quantity, it does. It has a nice fragrance and has a refreshing effect on hair after every wash. This shampoo will suit all hair types!",4.0 out of 5 stars
Very nice,Very nice,4.0 out of 5 stars
Good product,Value for money,4.0 out of 5 stars
Loved it!,"Head and shoulders is one brand I have always trusted for dandruff related hair problems. Earlier I used to feel that my hair was becoming dry after repeated use, but with this particular shampoo, I am so happy. It makes my hair smooth and silky also. And the fragrance is also very good!",4.0 out of 5 stars
Smooth and Silky,"I have the tendency to change shampoos every two months. So, I recently bought this from Amazon. Head & Shoulders has been a brand I have known and used time and again. So, I loved using it as usual. It leaves my hair soft and silky. Has a refreshing smell and also adds a little volume. It maybe a little frizzy right after you wash it but then after an hour, it just gets fine and smooth. Definitely recommended!",5.0 out of 5 stars
My hair feels smooth and silky,"For long I believed that Head and Shoulders made the hair dry and damaged the scalp and what not! After reading all the reviews, decided to get this for myself and wow! this is not what i expected! it smells good, my hair feel smooth and no my scalp isn't dry! The itchiness of my scalp is gone and I am super happy to see the way my hair feels right now!
I would totally recommend this and it is so economical!",5.0 out of 5 stars
Good,Good product,4.0 out of 5 stars
This product is very nice,I am very happy,5.0 out of 5 stars
Worth buying,Worthy product but the cap of the bottle was open and little amount of liquid was wasted due to that,3.0 out of 5 stars
Nice,Superb product thank you Amazon,5.0 out of 5 stars
Good,If you have used foreign product then don't even compare with it. On other aspect a great deal if you get for.,3.0 out of 5 stars
Product is ok,Nice,4.0 out of 5 stars
Decent,Decent,4.0 out of 5 stars
I love the smooth and silky shampoo because it doesn't just ...,"Head & Shoulders has been a really popular dandruff shampoo since the 50s. I remember using it during wintertime when my scalp was excessively flaky. It is more effective now than it used to be. I love the smooth and silky shampoo because it doesn't just get rid of the dandruff it also helps me have really shiny and silky hair. Overall, I'd give the new Head & Shoulders Smooth and Silky Shampoo a 5/5!",5.0 out of 5 stars
It's not as expected,Good but not as I think,3.0 out of 5 stars
Best shampoo for dandruff solution,"I am using this shampoo from last 1 week & I really liked it from the first wash itself. The best thing about Head & Shoulders (smooth &silky) Shampoo is, it doesn't make my hair rough like other anti-dandruff shampoos. It is value for money as the dispenser allows you to use just the right amount you need. It comes with fine fragrance which is just my favorite. Its a huge quantity in so little price.",5.0 out of 5 stars
effective anti dandruss shampoo,"I get to wash my hair very often because it is oily and dandruff. i have trusted head and shoulders since forever. I like the fact that it is not extra lathery, even though a small quantity is enough. But if your hair has quite a lot of dandruff, you may want to leave the shampoo on your scalp for a few minutes before you rinse it out, for best results. the itchiness went down drastically.",5.0 out of 5 stars
Good,Good,3.0 out of 5 stars
Product is good,Good😊,5.0 out of 5 stars
Good,Good,4.0 out of 5 stars
Not effective,Dundruff में ज्यादा प्रभावी नहीं है |,2.0 out of 5 stars
Good product,Good,5.0 out of 5 stars
Woow,Great 👍,4.0 out of 5 stars
Good,Good,4.0 out of 5 stars
OK,OK,4.0 out of 5 stars
Good product,Always been using this product..value for money..,5.0 out of 5 stars
Good,Good,5.0 out of 5 stars
Nice,Nice,4.0 out of 5 stars
Best Anti Dandruff Shampoo,"I ordered this shampoo after reading the reviews and it looks like a great buy. Packaging is on point, fragrance is mild and stays for long even in summer, i loved the thickness of the liquid, only a coin size of it was required to cleanse and no complaints of any irritation, even. it leaves hair smooth u like other anti Dandruff products. Delivery was quick and also pricing is competitive.",5.0 out of 5 stars
Duplicate product don't buy,Duplicate product,1.0 out of 5 stars
Best product – head and shoulders.,"Head and shoulders is one of the largest shampoo companies and its product has proved to be one of the best. I’ve used this shampoo and I find it a very good product. Its has a good consistency and leaves my hair smooth and shiny. The smell is also not too strong, and I trust this product and wish to use it further and repurchase it. Thanks to head and shoulders.",5.0 out of 5 stars
Good,Silky,5.0 out of 5 stars
Good saving pack for family,"Initially i though it's not original because of light thickness, later I realized it was press pump package and manufacturer has to maintain consistency as per bottle package.",5.0 out of 5 stars
Great,Great product,5.0 out of 5 stars
Very nice shampoo,Good product at good price.,5.0 out of 5 stars
Review after 1 week of use,"Fantastic deal in this price, go grab it",5.0 out of 5 stars
Good,Good,5.0 out of 5 stars
Very good product,Very good product in this range.,5.0 out of 5 stars
Nice,Good,5.0 out of 5 stars
Value for money,Good thing to buy,5.0 out of 5 stars
The fragrance is to die for !,I have been using this sine my college days . It not only keeps my scalp dandruff free (yes even in summers ) but also leaves Hair soft and manageable . I particularly buy it for the frangrance . If I had a penny for every time someone has asked me how I get my hair smelling so wonderful . All thanks to H&S smooth & silky !,5.0 out of 5 stars
Good product,Nice product value for money,5.0 out of 5 stars
Too good,Using this shampoo from my childhood.. no complaints...,5.0 out of 5 stars
Not smooth,Hard hair,2.0 out of 5 stars
Good product,Nice,5.0 out of 5 stars
Good product,Nice product of money value,5.0 out of 5 stars
Good product in low price,Good product,4.0 out of 5 stars
Very bad quality.. duplicate product.my hairfall started,Not authenticate product.hair fall started after using this.. i have to throw it outside. Very rubbish,1.0 out of 5 stars
Waste of money,For dandruff... But it's making my scalp more itchy... Completely waste.... I'm using the shampoo while cleaning my floor....,1.0 out of 5 stars
Seems duplicate,There is huge difference when compared to local shop shampoo and this one.,2.0 out of 5 stars
Perfect anti dandruff shampoo for colored hair,This is perfect shampoo for me. I have colored hair which had become very dry recently causing dandruff. After only one wash I could see the difference. The dandruff was gone. I had tried so many methods to get rid of the dandruff but all in vain. This is a saviour. Not only did it remove dandruff. It also made my colored hair softer.,5.0 out of 5 stars
Good smell,Nice product,5.0 out of 5 stars
Lovely smell,It’s a nice product. Loved the smell of the shampoo. A coin size of shampoo was enough for my hair. Need to use it a little more to see the effect of it over hair fall and smoothening.,4.0 out of 5 stars
Excellent!!,I like the shampoo very much..The shampoo has great scent and softness is awesome..I really recommend the shampoo..,5.0 out of 5 stars
Value for money,"Very good 👍chief products from market rate. I like it
Bulk quality packages always buy in Amazon",5.0 out of 5 stars
Free from dandruff,loved using this product. It makes hair smooth and silky. It provides proper nourishment and helps me to get rid of dandruff. It saves time as its two in one. It works best like shampoo and effects like conditioner.This two in one shampoo plus conditioner is a time saver and totally beneficial. I would recommend everyone reading the review to use it.,5.0 out of 5 stars
Packaging,"Value for money

But packaging is very poor, It's leaked",5.0 out of 5 stars
Good to go,Heas and shoulders is a good brand so no query for that at all. Plus the big size is an additional advantage.,5.0 out of 5 stars
Amazing product!,Love this product! I was facing a bit of dandruff issue and I can see visible difference post using this product! It’s so useful specially in this hot weather when your scalp is prone to dandruff! Must try!,4.0 out of 5 stars
Faster delivery,This is good,4.0 out of 5 stars
A miracle shampoo!,"After using so many anti-dandruff shampoos I found this savior which worked miracles on my hair and scalp. Not just it solved my dandruff problem but also it reduced the formation of flakes and itchiness caused due to this. Even with one wash, I found a huge difference in my hair texture as it became smooth, less frizzy and looked healthy.",5.0 out of 5 stars
Please go for it.... No regrets,Amazing product for a person who deals with dandruff,5.0 out of 5 stars
Good,Nice deal,5.0 out of 5 stars
Good,Like,5.0 out of 5 stars
Adultered with water,Please don't buy. It contains lot of water in it. Total waste of money.,1.0 out of 5 stars
Nice product!!!!,"Best shampoo for dandruff removal & for making hair soft and smooth.
Using this product for several years....
Fully satisfied.....👍👍👍
Love it.....❤❤❤",4.0 out of 5 stars
Well packing,New one. Mfg jul 2021. I like it.,5.0 out of 5 stars
"Head & Shoulders Smooth and Silky Shampoo, 1L VERY GOOD","Head & Shoulders Smooth and Silky Shampoo, 1L is a very good shampoo and has always did its work perfectly. Unlike some other shampoo it does not cause hairfall and is mild enough to be used regularly. The delivery was timely and done nicely. The price provided very good value for money. Overall a good product.",5.0 out of 5 stars
Good,Very good,5.0 out of 5 stars
Not original,"It's not original head n shoulder shampoo, do not create enough foam, worst product. Better by from a shoap.",1.0 out of 5 stars
Good packaging,"Brand name is enough,, delivered in very good condition",5.0 out of 5 stars
Awesome item,best item in less price than market... Thank you Amazon,5.0 out of 5 stars
Masha Allah,"Masha Allah, good as expected, keep the quality maintained in future too.",5.0 out of 5 stars
Super,Super,5.0 out of 5 stars
Good,Excellent product,5.0 out of 5 stars
Best,"Its a best product for dandrff n , best value on amazon",5.0 out of 5 stars
"very good product, my hair became silky n smooth since ...","As it is summer due to sweat I started having dandruff problem. One of my friends suggested this product.(Head & shoulders) started using this shampoo found changes in my hair and scalp.
very good product, my hair became silky n smooth since first wash without even conditioner. I can see the changes in my scalp. dandruff reducing",5.0 out of 5 stars
Fake orAdulterated,"After using this my hair get oilier much faster and makes your scalp super itchy. For all you know instead of treating Dandruff problem, this only increasing it.
DO NOT GET MISGUIDED BY THE PRICE . Seller is definitely selling a fake product",1.0 out of 5 stars
Perfect for everyday use,"I need to wash my hair every day during summers because it gets too hot, sweaty and sticky. This shampoo is perfect for that. It's mild enough to be used every day and strong enough to remove all dirt without drying out the hair. With the price for the quantity, I think it's quite a steal deal.",5.0 out of 5 stars
Product good packaging very bad,Product is good but delivered lickage product so issue only delivery side.,5.0 out of 5 stars
Very poor,Very poor performance,1.0 out of 5 stars
Best for Rs 455,Best product in shampoo,5.0 out of 5 stars
Value for money,Value for money,5.0 out of 5 stars
Love this formula!,"Soft & silky hair, just as the name suggests! Very few anti-dandruff shampoos actually do that & this one's definitely become a favorite. Leaves the scalp clean & fresh. Two thumbs-up!!",4.0 out of 5 stars
this shampoo is too good but plz focus also yur packaging,"packaging is vry bad otherwise I lyk this shampoo, it's good",5.0 out of 5 stars
Ok,Nice,5.0 out of 5 stars
"This product right here is the best remedy, and I would definitely recommend it to ...","Head & Shoulders Smooth and Silky Shampoo is something I can blindly trust upon after having used it. With a drastic weather change, there is a lot of chance of the scalp becoming very dry, resulting in dandruff. This product right here is the best remedy, and I would definitely recommend it to everyone!",5.0 out of 5 stars
Value for money,Ordered this product and it arrived soon and the quantity is very good. The fragrance of the shampoo is mild and nice. It did transform the texture of my hair. The quantity was definitely a win- win. It can easily come up to few months. I am floored for how smooth it makes my tresses.,5.0 out of 5 stars
Go for it without any hesitation,I love this product. Thanks Amazon for this better services you are providing.,5.0 out of 5 stars
Best price,Best price,5.0 out of 5 stars
Nice 👍,Nice 👍,5.0 out of 5 stars
Nice product,,5.0 out of 5 stars
Nice and very good.,It is valu for money.,5.0 out of 5 stars
Duplicate product,Duplicate product.Don't buy,2.0 out of 5 stars
You have to give it a try!!!!,I feel the product is exactly what it claims to be. It made my hair smooth and silky. With just a little amount of product I was able to get shiny and healthy looking locks. And ofcourse it is an anti- dandruff shampoo and works perfectly.,5.0 out of 5 stars
1,1,5.0 out of 5 stars
Good shampoo also bought before,✌️,5.0 out of 5 stars
